,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country
age,1.0,0.07640452007816369,0.016852952219966938,0.07168153165928834,0.056843142789191344,0.06755725648807377,0.2115654863783572,0.23741150020289575,0.5777708375455465,0.1760435954898362,0.4699742179478183,0.04296208760212114,0.0784371660567715,0.05342691524525421
fnlwgt,0.07640452007816369,1.0,0.029194131615748836,0.0004996478033455144,0.004908796365542246,0.009594031604317455,0.045160720972324826,0.06363888158333923,0.05015490739589358,0.04564854234069027,0.03290414829943328,0.1494797250846679,0.02575287080441053,0.12525546799284215
education-num,0.016852952219966938,0.029194131615748836,1.0,0.12106540851028226,0.08030982241889217,0.14786096953362413,0.19831970337451513,1.0,0.11343438276931864,0.5549904284175148,0.14740974303329554,0.10517007650022701,0.006526403501448456,0.22153123300263042
capital-gain,0.07168153165928834,0.0004996478033455144,0.12106540851028226,1.0,0.031005079003937442,0.09225755189790989,0.12355279413955636,0.20108390931254885,0.08075585185146342,0.11616122882899355,0.08472621303323322,0.026952535514599654,0.050199193943035535,0.02345681272375661
capital-loss,0.056843142789191344,0.004908796365542246,0.08030982241889217,0.031005079003937442,1.0,0.05299411440389394,0.04736460511923493,0.09527337092823898,0.07285780387870244,0.08263577885020221,0.07862573467516358,0.028238886707459693,0.037230798103904776,0.02050163006559484
hours-per-week,0.06755725648807377,0.009594031604317455,0.14786096953362413,0.09225755189790989,0.05299411440389394,1.0,0.23121571633016258,0.20000143696965644,0.2502992246630905,0.30328422048504305,0.31278890690726935,0.05294903621610538,0.22619300127835698,0.007968775677754775
workclass,0.2115654863783572,0.045160720972324826,0.19831970337451513,0.12355279413955636,0.04736460511923493,0.23121571633016258,1.0,0.10691386086729736,0.08224860594336886,0.42589329894687994,0.0998599584894416,0.06088014088585319,0.14900673901088135,0.03757114171952268
education,0.23741150020289575,0.06363888158333923,1.0,0.20108390931254885,0.09527337092823898,0.20000143696965644,0.10691386086729736,1.0,0.09185838611546039,0.19415393450393872,0.12074528067331251,0.07057802653946975,0.09579595195029236,0.21659160405186073
marital-status,0.5777708375455465,0.05015490739589358,0.11343438276931864,0.08075585185146342,0.07285780387870244,0.2502992246630905,0.08224860594336886,0.09185838611546039,1.0,0.12921632306217537,0.4885255298425484,0.083669279172911,0.45851752828190534,0.06164280970423314
occupation,0.1760435954898362,0.04564854234069027,0.5549904284175148,0.11616122882899355,0.08263577885020221,0.30328422048504305,0.42589329894687994,0.19415393450393872,0.12921632306217537,1.0,0.17762742906570142,0.07751698818224612,0.4232520907910386,0.08507550913250805
relationship,0.4699742179478183,0.03290414829943328,0.14740974303329554,0.08472621303323322,0.07862573467516358,0.31278890690726935,0.0998599584894416,0.12074528067331251,0.4885255298425484,0.17762742906570142,1.0,0.09944899148212558,0.6442431072513589,0.065414352385817
race,0.04296208760212114,0.1494797250846679,0.10517007650022701,0.026952535514599654,0.028238886707459693,0.05294903621610538,0.06088014088585319,0.07057802653946975,0.083669279172911,0.07751698818224612,0.09944899148212558,1.0,0.11476415912866221,0.2682311803638516
sex,0.0784371660567715,0.02575287080441053,0.006526403501448456,0.050199193943035535,0.037230798103904776,0.22619300127835698,0.14900673901088135,0.09579595195029236,0.45851752828190534,0.4232520907910386,0.6442431072513589,0.11476415912866221,1.0,0.038181582457244956
native-country,0.05342691524525421,0.12525546799284215,0.22153123300263042,0.02345681272375661,0.02050163006559484,0.007968775677754775,0.03757114171952268,0.21659160405186073,0.06164280970423314,0.08507550913250805,0.065414352385817,0.2682311803638516,0.038181582457244956,1.0
