max_depth,cv_acc_mean,cv_acc_std,cv_f1_mean,cv_f1_std,cv_train_acc_mean
2,0.8272,0.0051,0.5568,0.0268,0.8279
3,0.8428,0.0045,0.6133,0.0176,0.8435
4,0.8432,0.0045,0.614,0.0179,0.8441
5,0.8506,0.0055,0.6335,0.0179,0.852
6,0.8541,0.0061,0.6379,0.0243,0.8556
7,0.8551,0.0065,0.6437,0.0227,0.8587
8,0.8563,0.0065,0.6522,0.0225,0.8617
9,0.8561,0.0063,0.6534,0.0137,0.8658
10,0.8551,0.0067,0.6534,0.0151,0.8706
11,0.8528,0.0069,0.648,0.0188,0.8748
12,0.851,0.0053,0.654,0.0221,0.8809
13,0.8475,0.0048,0.6561,0.0186,0.887
14,0.845,0.003,0.6493,0.0137,0.8942
15,0.8403,0.0017,0.6428,0.0132,0.9018
