min_samples_leaf,ccp_alpha,accuracy,balanced_acc,precision,recall,f1,roc_auc
1,0.0,0.8144,0.7526,0.6074,0.6341,0.6205,0.7526
1,0.0005,0.8554,0.7678,0.7457,0.5999,0.6649,0.893
1,0.01,0.8446,0.7458,0.7299,0.5563,0.6314,0.84
50,0.0,0.8543,0.7717,0.7341,0.6132,0.6682,0.9018
50,0.0005,0.8546,0.7656,0.7461,0.5948,0.6619,0.8934
50,0.01,0.8446,0.7458,0.7299,0.5563,0.6314,0.84
10,0.0,0.8426,0.7626,0.695,0.6093,0.6493,0.8717
10,0.0005,0.8554,0.7678,0.7457,0.5999,0.6649,0.893
10,0.01,0.8446,0.7458,0.7299,0.5563,0.6314,0.84
25,0.0,0.8512,0.7709,0.7206,0.617,0.6648,0.8962
25,0.0005,0.8554,0.7678,0.7457,0.5999,0.6649,0.893
25,0.01,0.8446,0.7458,0.7299,0.5563,0.6314,0.84
